artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
100369,"NMSA 3833","Aleppo 037",Touzalin1982Aleppo,primary,037,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.11.05,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023480,"messenger text, group G",0,0,,,0,0,0,0,,
100370,"NMSA 3697","Aleppo 038",Touzalin1982Aleppo,primary,038,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.11.23,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023481,"messenger text, group G",0,0,,,0,0,0,0,,
100371,"NMSA 4159","Aleppo 039",Touzalin1982Aleppo,primary,039,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.09.13.16 (intercalated)","National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023482,"messenger text ",0,0,,,0,0,0,0,,
100490,"NMSA 3876","Aleppo 158",Touzalin1982Aleppo,primary,158,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.08.11.00,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S002252.2,,,,,0,,0,,0,,0,,BDTNS,023601," ",0,0,,,0,0,0,0,,
100604,"NMSA 3977","Aleppo 272",Touzalin1982Aleppo,primary,272,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.06.10.00 (us2-us2 year)","National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S001944.2,,,,,0,,0,,0,,0,,BDTNS,023715," ",0,0,,,0,0,0,0,,
100625,"NMSA 4081","Aleppo 293",Touzalin1982Aleppo,primary,293,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.03.00.00,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S002561,,,,,1,,0,,0,,0,,BDTNS,023736," ",0,0,,,0,0,0,0,,
100626,"NMSA 3763","Aleppo 294",Touzalin1982Aleppo,primary,294,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.05.00.00 (us2 year)","National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S002355,,,,,0,,0,,0,,0,,BDTNS,023737," ",0,0,,,0,0,0,0,,
100631,"NMSA 3622","Aleppo 299",Touzalin1982Aleppo,primary,299,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.04.06.00 (us2 year)","National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S003490.1,,,,,1,,0,,0,,0,,BDTNS,023742," ",0,0,,,0,0,0,0,,
100638,"NMSA 4222","Aleppo 306",Touzalin1982Aleppo,primary,306,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.08.04.00,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S002774,,,,,0,,0,,0,,0,,BDTNS,023749," ",0,0,,,0,0,0,0,,
100668,"NMSA 4004","Aleppo 336",Touzalin1982Aleppo,primary,336,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.05.--.18, Šū-Suen.05.--.19 (us2 year)","National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S000033,,,,"20111230 corrected firth",0,,0,,0,,0,,BDTNS,023779," ",0,0,,,0,0,0,0,,
100694,"NMSA 4113","Aleppo 362",Touzalin1982Aleppo,primary,362,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.04.05.00,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S001722.6,,,,,0,,0,,0,,0,,BDTNS,023805," ",0,0,,,0,0,0,0,,
100728,"NMSA 3570","Aleppo 396",Touzalin1982Aleppo,primary,396,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.05.00,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S002932.2,,,,,0,,0,,0,,0,,BDTNS,023839," ",0,0,,,0,0,0,0,,
100729,"NMSA 3515","Aleppo 397",Touzalin1982Aleppo,primary,397,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.09.00,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S002932.2,,,,,0,,0,,0,,0,,BDTNS,023840," ",0,0,,,0,0,0,0,,
100741,"NMSA 4023","Aleppo 409",Touzalin1982Aleppo,primary,409,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.12.00,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S002932.2,,,,,0,,0,,0,,0,,BDTNS,023852," ",0,0,,,0,0,0,0,,
100743,"NMSA 4192","Aleppo 411",Touzalin1982Aleppo,primary,411,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.02.03.00 (us2 year)","National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S003565.2,,,,,0,,0,,0,,0,,BDTNS,023854," ",0,0,,,0,0,0,0,,
100744,"NMSA 3887","Aleppo 412",Touzalin1982Aleppo,primary,412,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.04.00,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S003415.2,,,,,0,,0,,0,,0,,BDTNS,023855," ",0,0,,,0,0,0,0,,
100745,"NMSA 4212","Aleppo 413",Touzalin1982Aleppo,primary,413,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.08.00.00,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S003303,,,,"20111230 corrected firth",0,,0,,0,,0,,BDTNS,023856," ",0,0,,,0,0,0,0,,
100747,"NMSA 3991","Aleppo 415",Touzalin1982Aleppo,primary,415,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.06.00,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S000033,,,,"20111230 corrected firth",0,,0,,0,,0,,BDTNS,023858," ",0,0,,,0,0,0,0,,
100748,"NMSA 3841","Aleppo 416",Touzalin1982Aleppo,primary,416,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.08.00,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023859," ",0,0,,,0,0,0,0,,
100753,"NMSA 4080","Aleppo 421",Touzalin1982Aleppo,primary,421,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.00.00,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S000033,,,,"20111230 corrected firth",0,,0,,0,,0,,BDTNS,023864," ",0,0,,,0,0,0,0,,
100772,"NMSA 3685","Aleppo 440",Touzalin1982Aleppo,primary,440,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.09.04.00,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023883," ",0,0,,,0,0,0,0,,
100778,"NMSA 3797","Aleppo 446",Touzalin1982Aleppo,primary,446,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.09.03.00,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023889,"gaba-ri ",0,0,,,0,0,0,0,,
100785,"NMSA 3995","Aleppo 453",Touzalin1982Aleppo,primary,453,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.07.04.00,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,023896," ",0,0,,,0,0,0,0,,
100792,"NMSA 3777","Aleppo 460",Touzalin1982Aleppo,primary,460,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.09.00.00,"National Museum of Syria, Aleppo, Syria",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,1,,0,,0,,0,,BDTNS,023903," ",0,0,,,0,0,0,0,,
